station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,avg_wind_speed_kts,avg_wind_drct,max_rh,avg_feel
FNL,2024-01-01,55.0,18.0,28.0,16.0,2.2593381,140.02042,92.5656,33.18939
LMO,2024-01-01,60.0,18.5,28.4,14.5,1.6678966,330.39075,83.369865,36.00776
GXY,2024-01-01,56.0,10.0,23.0,5.0,1.9986453,5.746403,83.773575,26.38329
GXY,2024-01-02,49.0,13.0,25.0,9.0,2.6069288,314.53568,80.27277,23.480366
FNL,2024-01-02,47.0,22.0,23.0,17.0,2.2593381,135.1602,84.6589,30.642103
LMO,2024-01-02,50.0,21.2,24.3,16.3,1.9268292,279.52533,80.155754,30.975807
FNL,2024-01-03,49.0,19.0,23.0,15.0,4.605574,102.93675,84.394104,27.173702
LMO,2024-01-03,50.5,18.0,23.0,12.4,2.0905924,328.6368,79.53867,30.577578
GXY,2024-01-03,48.0,10.0,21.0,6.0,3.8234954,87.75289,84.0537,21.594387
GXY,2024-01-04,29.0,18.0,24.8,15.0,3.910393,52.367172,100.0,19.77338
FNL,2024-01-04,30.0,19.0,25.0,16.0,4.2579837,27.37151,92.80228,19.121801
LMO,2024-01-04,33.6,26.6,25.0,18.7,1.6864111,16.511827,84.6589,26.987082
GXY,2024-01-05,46.0,13.0,23.0,9.0,5.300755,338.39664,91.71853,22.609306
FNL,2024-01-05,42.0,18.0,25.0,10.0,5.300755,326.79935,92.04581,24.814508
LMO,2024-01-05,45.5,20.5,28.0,15.4,1.0174216,119.293884,88.07725,31.615963
FNL,2024-01-06,42.0,20.0,19.0,5.0,5.8221407,116.968254,77.34337,23.254644
LMO,2024-01-06,45.0,15.4,18.0,-1.7,3.804878,260.02744,78.73007,28.033146
GXY,2024-01-06,41.0,14.0,19.0,2.0,4.7793694,327.75717,80.5226,20.917513
LMO,2024-01-07,42.0,20.3,16.7,2.0,2.5296168,17.567554,60.989895,27.717995
FNL,2024-01-07,42.0,18.0,19.0,4.0,4.8662667,26.468344,70.76454,22.17621
